,Title,Published_date,Views,Likes,Favorite,Comments,Month
0,7 Enticing Jobs AI Will Create,2023-07-24,2879,140,0,29,Jul
1,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,3024,114,0,26,Jul
2,Exciting Announcement!,2023-06-23,6155,282,0,48,Jun
3,AI: A Customer Service Revolution?,2023-05-26,3349,114,0,35,May
4,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,16719,641,0,54,May
5,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,24857,1097,0,70,May
6,This AI question will determine our future,2023-04-06,4089,257,0,37,Apr
7,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,69820,799,0,77,Apr
8,Your current portfolio is actually hurting you #shorts,2023-03-30,4948,283,0,4,Mar
9,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,5189,284,0,3,Mar
10,you're job searching wrong. #shorts,2023-03-23,3480,211,0,3,Mar
11,The Economics of Data Roles #shorts,2023-03-21,5784,368,0,5,Mar
12,Why your phone knows everything you say #shorts,2023-03-18,2516,115,0,7,Mar
13,Read these for a successful career. #shorts,2023-03-16,2666,215,0,2,Mar
14,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2284,44,0,5,Mar
15,How I Realized I Was a Bad Manager #shorts,2023-03-07,2437,115,0,1,Mar
16,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,18932,721,0,52,Mar
17,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,6442,222,0,9,Mar
18,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2319,152,0,2,Feb
19,Learning On the companies dime #shorts,2023-02-24,2897,166,0,1,Feb
20,The Best Way to Transition to Data Science? #shorts,2023-02-21,3588,237,0,6,Feb
21,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,5840,341,0,6,Feb
22,Don't Go into Data for the Money #shorts,2023-02-15,3571,215,0,12,Feb
23,First Data Science Project? Watch This.,2023-02-13,5410,316,0,22,Feb
24,How to Approach Applying for a Data Role #shorts,2023-02-08,3581,242,0,7,Feb
25,The Hard Reality of Data Science Work #shorts,2023-02-06,10030,640,0,10,Feb
26,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4186,175,0,6,Feb
27,These 3 Things Make Data Science Special #shorts,2023-02-01,3984,311,0,6,Feb
28,Will Data Science Be Automated? #shorts,2023-01-27,7392,344,0,7,Jan
29,Is Data Science A Good Fit For You? #shorts,2023-01-25,4773,278,0,9,Jan
30,5 Books I Wish I Read Earlier In My Career,2023-01-23,8765,499,0,50,Jan
31,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4247,441,0,10,Jan
32,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6139,464,0,10,Jan
33,How long does it take to become a Data Scientist? #shorts,2023-01-12,5265,428,0,6,Jan
34,Where & how to start your Data Science Journey #shorts,2023-01-09,6442,402,0,2,Jan
35,How I Would NOT Learn Data Science in 2023.,2023-01-03,116818,3897,0,239,Jan
36,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4736,197,0,28,Dec
37,The Essential Programming Concepts For Learning Data Science,2022-11-14,19746,827,0,46,Nov
38,The Data Content House: What You Missed,2022-10-07,10331,346,0,50,Oct
39,Is Data Science A Good Career?,2022-09-29,57916,1846,0,132,Sep
40,IRON ANALYST (Teaser) #shorts,2022-09-27,5584,362,0,24,Sep
41,When a New Data Scientist Joins The Team,2022-08-29,16214,742,0,133,Aug
42,State of Data Science - Web Data,2022-08-05,10397,360,0,34,Aug
43,Data Science Town Hall - State of Data Science,2022-08-04,9935,377,0,38,Aug
44,The Programming Roadmap For Data Science,2022-07-29,26411,1268,0,64,Jul
45,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,67561,2659,0,90,Jun
46,Can AI Fix my Baseball Swing?,2022-06-10,7458,338,0,68,Jun
47,Every Data Scientist... (funny!),2022-05-24,16262,846,0,146,May
48,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15960,431,0,65,May
49,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,53726,1426,0,87,Apr
50,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,20517,859,0,111,Mar
51,Data Scientists VS NFT Scam,2022-03-03,4605,189,0,51,Mar
52,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11032,509,0,144,Feb
53,What Professional Data Scientists ACTUALLY Do,2022-02-14,93301,3253,0,185,Feb
54,Can You Analyze My Data Better Than I Can?,2022-01-31,7174,323,0,62,Jan
55,Giving Back to My Most Engaged Subscribers!,2022-01-28,2317,119,0,89,Jan
56,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,26366,813,0,130,Jan
57,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8778,422,0,85,Jan
58,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8441,251,0,33,Jan
59,The Only Data Science Explanation You Need,2022-01-10,56712,2168,0,174,Jan
60,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14375,645,0,144,Jan
61,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,337428,14902,0,536,Dec
62,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,11096,405,0,66,Dec
63,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7980,568,0,25,Dec
64,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,24414,1179,0,146,Dec
65,Why Is Data Engineering So HOT Right Now?,2021-11-26,29253,1096,0,141,Nov
66,Is Data Science Dying?,2021-11-19,120900,3814,0,360,Nov
67,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8023,387,0,112,Nov
68,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3620,203,0,48,Nov
69,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,12628,288,0,39,Oct
70,ML Ops: What is it REALLY?,2021-10-22,6593,278,0,65,Oct
71,Business Skills for Data Science: What are they REALLY?,2021-10-18,6707,298,0,50,Oct
72,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2204,123,0,5,Oct
73,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5869,279,0,64,Oct
74,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12714,531,0,112,Aug
75,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10105,429,0,32,Aug
76,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40578,1582,0,31,Aug
77,How I Learned to Learn.,2021-07-31,50623,2354,0,209,Jul
78,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10316,576,0,50,Jul
79,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2376,93,0,30,Jul
80,Why are APIs Important for Data Science?,2021-07-09,9694,449,0,95,Jul
81,Is Your Phone REALLY Listening to You?,2021-07-03,5154,280,0,116,Jul
82,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14627,590,0,121,Jun
83,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4078,226,0,41,Jun
84,#66DaysOfData - What is it? #shorts,2021-06-11,8987,387,0,54,Jun
85,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16543,1010,0,89,Jun
86,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7423,391,0,195,May
87,How Data Science Projects Pay Off,2021-05-22,10532,594,0,146,May
88,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10501,486,0,134,May
89,What is a lambda function (python)? #shorts,2021-05-13,14974,928,0,49,May
